n_cubes,overlap,clusterer,n_nodes,n_edges,n_components,n_cycles,overlap_ratio,mean_node_size,size_cv,graph_density,lcc_fraction,node_cohesion,cat_separation,size_penalty,composite_score,penalised_score
12,0.65,AdaptiveDBSCAN,398,1416,46,1064,0.8121,11.07,1.0431,0.0179,0.1156,0.0988,0.0908,0.0117,0.34,0.004
20,0.45,HDBSCAN,395,744,51,400,0.6266,8.34,1.038,0.0096,0.2025,0.0281,0.1271,0.0127,0.3086,0.0039
9,0.65,AdaptiveDBSCAN,404,1295,53,944,0.8056,9.98,1.1308,0.0159,0.0965,0.1111,0.0973,0.0098,0.3427,0.0034
35,0.5,AdaptiveDBSCAN,404,824,37,457,0.6808,8.72,0.5958,0.0101,0.1856,0.0527,0.1215,0.0098,0.3264,0.0032
11,0.65,AdaptiveDBSCAN,408,1477,45,1114,0.8078,10.75,1.0495,0.0178,0.0784,0.1029,0.0948,0.0087,0.3282,0.0029
50,0.3,HDBSCAN,398,571,65,238,0.4376,5.78,0.6094,0.0072,0.1256,-0.0201,0.1867,0.0117,0.2333,0.0027
13,0.5,HDBSCAN,405,722,68,385,0.6806,8.95,1.4776,0.0088,0.1062,0.0295,0.1246,0.0095,0.2762,0.0026
30,0.4,HDBSCAN,405,700,55,350,0.5738,7.14,0.8381,0.0086,0.116,0.0222,0.1352,0.0095,0.2619,0.0025
7,0.55,HDBSCAN,413,1023,54,664,0.6982,9.4,2.2293,0.012,0.2542,-0.0073,0.122,0.0075,0.3136,0.0024
40,0.35,HDBSCAN,408,691,43,326,0.5247,6.6,0.6951,0.0083,0.1495,0.0008,0.1574,0.0087,0.2613,0.0023
13,0.65,AdaptiveDBSCAN,414,1527,48,1161,0.8136,10.95,1.0109,0.0179,0.0773,0.0816,0.0927,0.0072,0.3118,0.0022
12,0.5,HDBSCAN,412,754,58,400,0.6676,8.59,1.5108,0.0089,0.1723,-0.0153,0.1325,0.0077,0.2719,0.0021
5,0.7,AdaptiveDBSCAN,427,1435,60,1068,0.8309,9.7,1.3027,0.0158,0.0468,0.1306,0.1051,0.0049,0.3436,0.0017
9,0.55,HDBSCAN,421,902,68,549,0.7017,9.08,1.9533,0.0102,0.1188,0.0308,0.1296,0.0059,0.2882,0.0017
17,0.5,HDBSCAN,430,828,57,455,0.6859,9.14,1.243,0.009,0.2953,0.0179,0.1198,0.0045,0.3472,0.0016
25,0.45,HDBSCAN,424,837,50,463,0.6379,8.29,0.9885,0.0093,0.1439,0.0102,0.1311,0.0054,0.2736,0.0015
10,0.55,HDBSCAN,427,1017,57,647,0.7076,9.7,1.8488,0.0112,0.2037,-0.0179,0.1202,0.0049,0.2848,0.0014
15,0.5,HDBSCAN,429,796,61,428,0.6826,8.73,1.352,0.0087,0.1725,0.0228,0.1295,0.0046,0.3019,0.0014
40,0.5,AdaptiveDBSCAN,430,917,33,520,0.6773,8.47,0.5462,0.0099,0.1698,0.0357,0.1227,0.0045,0.3068,0.0014
8,0.55,HDBSCAN,441,1097,53,709,0.6951,8.73,2.1255,0.0113,0.3129,-0.022,0.1294,0.0032,0.3302,0.0011
12,0.55,HDBSCAN,441,1237,44,840,0.7259,10.04,1.6508,0.0127,0.3197,0.0005,0.1069,0.0032,0.3457,0.0011
20,0.6,AdaptiveDBSCAN,439,1471,48,1080,0.7798,9.82,0.8037,0.0153,0.1253,0.0789,0.1039,0.0034,0.3294,0.0011
6,0.7,AdaptiveDBSCAN,446,1557,59,1170,0.8318,9.69,1.2871,0.0157,0.1121,0.1283,0.1091,0.0028,0.3716,0.001
30,0.55,AdaptiveDBSCAN,443,1413,32,1002,0.737,9.12,0.6432,0.0144,0.2144,0.0292,0.1164,0.003,0.3282,0.001
35,0.55,AdaptiveDBSCAN,450,1440,28,1018,0.7288,9.2,0.6015,0.0143,0.1511,0.0307,0.1168,0.0025,0.3011,0.0008
13,0.55,HDBSCAN,450,1231,57,838,0.7318,9.92,1.5869,0.0122,0.2422,0.0139,0.1128,0.0025,0.3261,0.0008
11,0.55,HDBSCAN,446,1222,51,827,0.7186,9.66,1.6888,0.0123,0.1771,-0.0069,0.1113,0.0028,0.2799,0.0008
50,0.45,AdaptiveDBSCAN,449,923,27,501,0.6254,7.33,0.4863,0.0092,0.1759,-0.0155,0.1346,0.0025,0.2673,0.0007
35,0.4,HDBSCAN,450,766,55,371,0.5761,6.45,0.716,0.0076,0.2178,-0.0215,0.1678,0.0025,0.2864,0.0007
8,0.7,AdaptiveDBSCAN,458,1901,50,1493,0.8497,10.37,1.1928,0.0182,0.0786,0.1415,0.0967,0.0019,0.3651,0.0007
15,0.65,AdaptiveDBSCAN,461,1795,45,1379,0.8204,10.69,0.9622,0.0169,0.128,0.0881,0.0981,0.0018,0.3417,0.0006
